,Galaxy,Distance (Mpc),1.4 GHz Flux,Jet Power
0,IC1262,141.8,16.4,9.217730919326041e+42
1,IC1459,25.8,1279.7,1.8856756871912302e+43
2,IC4296,53.7,546.6,2.9888200742859374e+43
3,NGC315,71.1,772.1,5.896373664597412e+43
4,NGC499,63.2,62.7,7.519170546374154e+42
5,NGC507,71.0,61.7,8.843584375327394e+42
6,NGC533,79.9,28.6,5.929098687979372e+42
7,NGC708,69.8,65.7,9.03653706555378e+42
8,NGC720,25.0,96.2,2.582317989901384e+42
9,NGC741,80.1,478.8,4.925557364479692e+43
10,NGC1316,25.2,254.7,5.4242275638115743e+42
11,NGC1332,21.8,4.6,2.1504031857813068e+41
12,NGC1399,20.4,208.0,3.3945382689651805e+42
13,NGC1404,27.9,3.9,2.750295469550239e+41
14,NGC1407,25.5,87.7,2.4818230501644855e+42
15,NGC1550,53.3,16.6,2.1501264767451304e+42
16,NGC3091,56.9,2.5,5.7327302547358896e+41
17,NGC3923,24.9,31.2,1.1031507920645906e+42
18,NGC4073,84.6,17.1,4.3916378195596355e+42
19,NGC4104,122.2,7.3,4.021284245434696e+42
20,NGC4125,19.4,24.9,6.407006905074432e+41
21,NGC4261,31.7,4066.7,6.111358012210913e+43
22,NGC4325,111.3,4.1,2.2685990564713952e+42
23,NGC4374,18.1,27.5,6.220712695178069e+41
24,NGC4382,17.7,8.0,2.382902131666594e+41
25,NGC4472,17.1,219.9,2.71644544175904e+42
26,NGC4552,16.1,100.1,1.3753632417344608e+42
27,NGC4636,13.4,77.8,8.645414821898574e+41
28,NGC4649,15.9,29.1,5.344062121724109e+41
29,NGC4696,42.4,24.4,2.0372631803757135e+42
30,NGC4782,66.6,3.1,8.52757143964787e+41
31,NGC5044,39.9,34.7,2.4221446221314343e+42
32,NGC5353,33.3,40.5,2.0742003879834768e+42
33,NGC5813,28.0,14.8,7.518070892542814e+41
34,NGC5846,21.1,21.0,6.395367738982858e+41
35,NGC6338,118.3,57.0,1.7893971463248997e+43
36,NGC6482,56.5,3.2,6.826203910573226e+41
37,NGC6861,40.6,40.7,2.801998748740846e+42
38,NGC7618,74.7,38.3,6.673468420701002e+42
39,UGC408,63.5,980.0,5.952772886151812e+43
40,IC1024,21.2,24.7,7.274486824145539e+41
41,NGC1266,31.1,115.6,4.111357516292418e+42
42,NGC2768,19.4,14.5,4.271020769936214e+41
43,NGC3245,13.9,6.7,1.4519934839415308e+41
44,NGC3599,12.0,2.3,5.223756260716614e+40
45,NGC3607,13.5,6.9,1.4207900157165801e+41
46,NGC3619,22.3,5.6,2.57844299408862e+41
47,NGC3665,29.6,112.2,3.733198943057512e+42
48,NGC4036,19.8,11.6,3.72510322388869e+41
49,NGC4203,15.5,6.1,1.5935182848259429e+41
50,NGC4283,15.1,385.0,3.43106664762907e+42
51,NGC4459,17.1,2.7,1.0019703910429612e+41
52,NGC4476,28.2,245.6,6.247625619510721e+42
53,NGC4477,19.2,6.2,2.2235746973508133e+41
54,NGC4526,17.5,12.0,3.1752275287309135e+41
55,NGC4596,27.1,3.4,2.3754713674779544e+41
56,NGC4710,15.8,18.7,3.799482245696664e+41
57,NGC5866,15.2,21.8,4.02229967216367e+41
58,NGC7465,28.1,19.1,9.15179067679739e+41
