Galaxy,Distance (Mpc),RA (Equatorial J2000.0),DEC (Equatorial J2000.0),X-ray Flux 2-10 keV (Jy)
FRL1146,136.7,08h38m30.78s,-35d59m33.4s,7.93E-07
FRL49,85.7,18h36m58.29s,-59d24m08.60s,1.54E-06
MRK567,140.6,01h19m18.11s,+04d34m41.0s,
NGC0383,66.6,01h07m24.959s,+32d24m45.21s,1.65E-09
NGC0404,3.01,01h09m27.021s,+35d43m05.27s,7.89E-10
NGC0449,66.25,01h16m07.249s,+33d05m22.40s,5.59E-09
NGC0524,23.3,01h24m47.72s,+09d32m19.8s,3.45E-10
NGC0612,130.4,01h33m57.74s,-36d29m35.7s,1.03E-07
NGC0708,58.3,01h52m46.48s,+36d09m06.6s,2.53E-08
NGC1194,53.2,03h03m49.109s,-01d06m13.48s,6.97E-08
NGC1387,19.9,03h36m57.06s,-35d30m23.9s,7.64E-10
NGC1574,19.3,04h21m58.82s,-56d58m29.1s,
NGC2110,35.6,05h52m11.381s,-07d27m22.36s,1.72E-06
NGC3169,18.7,10h14m15.0502s,+03d27m57.875s,7.65E-09
NGC3351,10,10h43m57.700s,+11d42m13.70s,3.13E-09
NGC3368,18,10h46m45.740s,+11d49m11.80s,9.66E-09
NGC3607,22.2,11h16m54.639s,+18d03m06.32s,6.21E-10
NGC3862,92.5,11h45m05.0090s,+19d36m22.741s,2.64E-08
NGC4061,94.1,12h04m01.477s,+20d13m56.38s,
NGC4261,31.948,12h19m23.2204s,+05d49m30.775s,4.47E-08
NGC4429,16.5,12h27m26.508s,+11d06m27.76s,2.79E-09
NGC4435,16.5,12h27m40.487s,+13d04m44.20s,5.86E-10
NGC4438,16.5,12h27m45.5938s,+13d00m31.775s,2.21E-09
NGC4501,14,12h31m59.161s,+14d25m13.39s,8.28E-09
NGC4697,11.4,12h48m35.878s,-05d48m02.67s,1.17E-09
NGC4826,7.36,12h56m43.641s,+21d40m58.69s,9.84E-10
NGC5064,34,13h18m59.93s,-47d54m31.2s,
NGC5765b,114,14h50m51.51s,+05d06m52.1s,
NGC5806,21.4,15h00m00.400s,+01d53m28.70s,
NGC5995,107.5,15h48m24.955s,-13d45m27.95s,1.86E-06
NGC6753,42,19h11m23.64s,-57d02m58.4s,
NGC6958,30.6,20h48m42.59s,-37d59m50.7s,
NGC7052,51.55,21h18m33.050s,+26d26m49.30s,
NGC7172,33.9,22h02m01.891s,-31d52m10.80s,1.45E-06
PGC043387,95.8,12h49m42.293s,+26d53m31.29s,
